0-17,18-49,50-64,65+,Unknown,County,Date Updated,Date Data,Date Scraped
0.6%,38.5%,26.3%,34.7%,0.000%,Sacramento,2021-04-07,2021-04-06,2021-04-07 18:37:34
0.3%,40.2%,27.2%,32.3%,0.000%,San Benito,2021-04-07,2021-04-06,2021-04-07 18:37:37
0.6%,38.5%,28.1%,32.8%,0.000%,San Bernardino,2021-04-07,2021-04-06,2021-04-07 18:37:39
0.5%,38.4%,24.1%,36.9%,0.000%,San Diego,2021-04-07,2021-04-06,2021-04-07 18:37:42
0.4%,46.7%,25.0%,27.9%,0.000%,San Francisco,2021-04-07,2021-04-06,2021-04-07 18:37:44
0.6%,37.7%,27.2%,34.4%,0.004%,San Joaquin,2021-04-07,2021-04-06,2021-04-07 18:37:47
0.4%,29.8%,23.4%,46.4%,0.000%,San Luis Obispo,2021-04-07,2021-04-06,2021-04-07 18:37:50
0.7%,39.9%,27.0%,32.5%,0.000%,San Mateo,2021-04-07,2021-04-06,2021-04-07 18:37:52
0.4%,37.4%,24.8%,37.4%,0.000%,Santa Barbara,2021-04-07,2021-04-06,2021-04-07 18:37:55
0.7%,40.1%,27.5%,31.6%,0.000%,Santa Clara,2021-04-07,2021-04-06,2021-04-07 18:37:57
0.6%,37.0%,26.0%,36.4%,0.000%,Santa Cruz,2021-04-07,2021-04-06,2021-04-07 18:38:00
0.4%,24.0%,24.7%,51.0%,0.000%,Shasta,2021-04-07,2021-04-06,2021-04-07 18:38:02
0.000%,23.5%,29.0%,47.5%,0.000%,Sierra,2021-04-07,2021-04-06,2021-04-07 18:38:05
0.5%,22.6%,24.5%,52.5%,0.000%,Siskiyou,2021-04-07,2021-04-06,2021-04-07 18:38:07
0.4%,35.2%,28.0%,36.3%,0.000%,Solano,2021-04-07,2021-04-06,2021-04-07 18:38:10
0.5%,34.2%,26.0%,39.2%,0.000%,Sonoma,2021-04-07,2021-04-06,2021-04-07 18:38:12
1.0%,37.3%,27.2%,34.5%,0.005%,Stanislaus,2021-04-07,2021-04-06,2021-04-07 18:38:15
0.2%,33.9%,27.2%,38.6%,0.000%,Sutter,2021-04-07,2021-04-06,2021-04-07 18:38:17
0.3%,24.7%,27.0%,48.0%,0.000%,Tehama,2021-04-07,2021-04-06,2021-04-07 18:38:20
0.1%,20.3%,24.6%,55.0%,0.000%,Trinity,2021-04-07,2021-04-06,2021-04-07 18:38:23
0.8%,42.8%,26.8%,29.6%,0.000%,Tulare,2021-04-07,2021-04-06,2021-04-07 18:38:25
0.2%,20.4%,25.9%,53.5%,0.000%,Tuolumne,2021-04-07,2021-04-06,2021-04-07 18:38:28
0.7%,36.4%,27.4%,35.6%,0.000%,Ventura,2021-04-07,2021-04-06,2021-04-07 18:38:30
0.7%,45.4%,24.2%,29.8%,0.000%,Yolo,2021-04-07,2021-04-06,2021-04-07 18:38:33
0.2%,31.9%,27.9%,40.0%,0.000%,Yuba,2021-04-07,2021-04-06,2021-04-07 18:38:35
